Date,Trimestre,Retorno
11/02/2016,20160101,-0.012301162
12/02/2016,20160101,0.019518049
16/02/2016,20160101,0.016516654
17/02/2016,20160101,0.016480439
18/02/2016,20160101,-0.004665714
19/02/2016,20160101,-2.60331E-05
22/02/2016,20160101,0.014454197
23/02/2016,20160101,-0.012454372
24/02/2016,20160101,0.004439787
25/02/2016,20160101,0.011348275
26/02/2016,20160101,-0.001870114
29/02/2016,20160101,-0.008120977
1/03/2016,20160101,0.023868792
2/03/2016,20160101,0.004094308
3/03/2016,20160101,0.003498741
4/03/2016,20160101,0.003305892
7/03/2016,20160101,0.000885014
8/03/2016,20160101,-0.011240109
9/03/2016,20160101,0.005052393
10/03/2016,20160101,0.000155805
11/03/2016,20160101,0.0163955
14/03/2016,20160101,-0.001260973
15/03/2016,20160101,-0.001836942
16/03/2016,20160101,0.005600352
17/03/2016,20160101,0.006595236
18/03/2016,20160101,0.004405644
21/03/2016,20160101,0.000985577
22/03/2016,20160101,-0.000877388
23/03/2016,20160101,-0.006386032
24/03/2016,20160101,-0.000378071
28/03/2016,20160101,0.000545256
29/03/2016,20160101,0.008816652
30/03/2016,20160101,0.004350315
31/03/2016,20160101,-0.002039759
1/04/2016,20160401,0.006330915
4/04/2016,20160401,-0.003208322
5/04/2016,20160401,-0.010144492
6/04/2016,20160401,0.010507619
7/04/2016,20160401,-0.011975787
8/04/2016,20160401,0.002786578
11/04/2016,20160401,-0.002739786
12/04/2016,20160401,0.009662134
13/04/2016,20160401,0.010040137
14/04/2016,20160401,0.000172927
15/04/2016,20160401,-0.000984285
18/04/2016,20160401,0.006541026
19/04/2016,20160401,0.003084485
20/04/2016,20160401,0.000761545
21/04/2016,20160401,-0.005194027
22/04/2016,20160401,4.78599E-05
25/04/2016,20160401,-0.001812046
26/04/2016,20160401,0.001872752
27/04/2016,20160401,0.001649353
28/04/2016,20160401,-0.009230768
29/04/2016,20160401,-0.005063088
2/05/2016,20160401,0.007809947
3/05/2016,20160401,-0.008676638
4/05/2016,20160401,-0.005936889
5/05/2016,20160401,-0.000239008
6/05/2016,20160401,0.003174639
9/05/2016,20160401,0.000753497
10/05/2016,20160401,0.012483644
11/05/2016,20160401,-0.009561518
12/05/2016,20160401,-0.000169465
13/05/2016,20160401,-0.008478289
16/05/2016,20160401,0.009796653
17/05/2016,20160401,-0.009411297
18/05/2016,20160401,0.000205179
19/05/2016,20160401,-0.003706708
20/05/2016,20160401,0.006019504
23/05/2016,20160401,-0.002085459
24/05/2016,20160401,0.013681383
25/05/2016,20160401,0.00697474
26/05/2016,20160401,-0.000210444
27/05/2016,20160401,0.004286857
31/05/2016,20160401,-0.001005263
1/06/2016,20160401,0.001135042
2/06/2016,20160401,0.002824678
3/06/2016,20160401,-0.002911815
6/06/2016,20160401,0.004897281
7/06/2016,20160401,0.001289446
8/06/2016,20160401,0.003309566
9/06/2016,20160401,-0.001717759
10/06/2016,20160401,-0.009175181
13/06/2016,20160401,-0.008115191
14/06/2016,20160401,-0.001798886
15/06/2016,20160401,-0.001840713
16/06/2016,20160401,0.003132991
17/06/2016,20160401,-0.003257965
20/06/2016,20160401,0.005808185
21/06/2016,20160401,0.002712061
22/06/2016,20160401,-0.001651564
23/06/2016,20160401,0.013364079
24/06/2016,20160401,-0.0359198
27/06/2016,20160401,-0.018096502
28/06/2016,20160401,0.017770165
29/06/2016,20160401,0.017032673
30/06/2016,20160401,0.013565044
1/07/2016,20160701,0.001948602
5/07/2016,20160701,-0.006847477
6/07/2016,20160701,0.005352963
7/07/2016,20160701,-0.000871578
8/07/2016,20160701,0.015253349
11/07/2016,20160701,0.003408616
12/07/2016,20160701,0.007009293
13/07/2016,20160701,0.000134768
14/07/2016,20160701,0.005259204
15/07/2016,20160701,-0.000928947
18/07/2016,20160701,0.002382295
19/07/2016,20160701,-0.001435174
20/07/2016,20160701,0.004270301
21/07/2016,20160701,-0.003612529
22/07/2016,20160701,0.004553965
25/07/2016,20160701,-0.003011475
26/07/2016,20160701,0.000322785
27/07/2016,20160701,-0.001198542
28/07/2016,20160701,0.001606209
29/07/2016,20160701,0.001631309
1/08/2016,20160701,-0.001269787
2/08/2016,20160701,-0.00636162
3/08/2016,20160701,0.003133943
4/08/2016,20160701,0.000212572
5/08/2016,20160701,0.008603496
8/08/2016,20160701,-0.000907165
9/08/2016,20160701,0.000389794
10/08/2016,20160701,-0.002864686
11/08/2016,20160701,0.004734588
12/08/2016,20160701,-0.000796046
15/08/2016,20160701,0.002792909
16/08/2016,20160701,-0.005479077
17/08/2016,20160701,0.00186859
18/08/2016,20160701,0.002199617
19/08/2016,20160701,-0.001440272
22/08/2016,20160701,-0.000563323
23/08/2016,20160701,0.001951769
24/08/2016,20160701,-0.005240277
25/08/2016,20160701,-0.001365227
26/08/2016,20160701,-0.001578817
29/08/2016,20160701,0.005228047
30/08/2016,20160701,-0.001953681
31/08/2016,20160701,-0.002375864
1/09/2016,20160701,-4.13846E-05
2/09/2016,20160701,0.004201041
6/09/2016,20160701,0.002981679
7/09/2016,20160701,-0.000146385
8/09/2016,20160701,-0.002223014
9/09/2016,20160701,-0.024522069
12/09/2016,20160701,0.014677053
13/09/2016,20160701,-0.014830674
14/09/2016,20160701,-0.000587677
15/09/2016,20160701,0.010109273
16/09/2016,20160701,-0.003772295
19/09/2016,20160701,-1.86031E-05
20/09/2016,20160701,0.000299138
21/09/2016,20160701,0.010917162
22/09/2016,20160701,0.006499785
23/09/2016,20160701,-0.005736775
26/09/2016,20160701,-0.008587762
27/09/2016,20160701,0.00644417
28/09/2016,20160701,0.005296554
29/09/2016,20160701,-0.009321411
30/09/2016,20160701,0.007967969
3/10/2016,20161001,-0.003260696
4/10/2016,20161001,-0.004955562
5/10/2016,20161001,0.004296691
6/10/2016,20161001,0.00048156
7/10/2016,20161001,-0.003253484
10/10/2016,20161001,0.004605905
11/10/2016,20161001,-0.012446472
12/10/2016,20161001,0.001146589
13/10/2016,20161001,-0.003099264
14/10/2016,20161001,0.000201604
17/10/2016,20161001,-0.003037994
18/10/2016,20161001,0.006160403
19/10/2016,20161001,0.002191971
