Date,S&P Return
2014-10-10,-0.011451012
2014-10-13,-0.01646793
2014-10-14,0.001578865
2014-10-15,-0.008100315
2014-10-16,0.000144978
2014-10-17,0.012884107
2014-10-20,0.009142657
2014-10-21,0.019574487
2014-10-22,-0.00729933
2014-10-23,0.012303377
2014-10-24,0.00705345
2014-10-27,-0.001501568
2014-10-28,0.011939073
2014-10-29,-0.001385355
2014-10-30,0.006230124
2014-10-31,0.011731394
2014-11-03,-0.000118922
2014-11-04,-0.002829842
2014-11-05,0.005700497
2014-11-06,0.003775513
2014-11-07,0.000349586
2014-11-10,0.003120185
2014-11-11,0.000696694
2014-11-12,-0.000701117
2014-11-13,0.000529845
2014-11-14,0.00024027
2014-11-17,0.000735359
2014-11-18,0.005133984
2014-11-19,-0.001501159
2014-11-20,0.001967096
2014-11-21,0.005236877
2014-11-24,0.002864023
2014-11-25,-0.00115003
2014-11-26,0.002805982
2014-11-28,-0.002542427
2014-12-01,-0.006829363
2014-12-02,0.006384461
2014-12-03,0.003764743
2014-12-04,-0.001161896
2014-12-05,0.001665216
2014-12-08,-0.007256565
2014-12-09,-0.000237824
2014-12-10,-0.016350968
2014-12-11,0.004535689
2014-12-12,-0.016213587
2014-12-15,-0.006342587
2014-12-16,-0.008489023
2014-12-17,0.020352416
2014-12-18,0.024015204
2014-12-19,0.004570049
2014-12-22,0.003810464
2014-12-23,0.001746362
2014-12-24,-0.000139297
2014-12-26,0.003309575
2014-12-29,0.000861774
2014-12-30,-0.004888604
2014-12-31,-0.010310859
2015-01-02,-0.000339964
2015-01-05,-0.018278105
2015-01-06,-0.008893472
2015-01-07,0.011629843
2015-01-08,0.017888281
2015-01-09,-0.008403811
2015-01-12,-0.008093685
2015-01-13,-0.002578555
2015-01-14,-0.005813067
2015-01-15,-0.009247876
2015-01-16,0.013424199
2015-01-20,0.001549952
2015-01-21,0.004731624
2015-01-22,0.015269722
2015-01-23,-0.005491522
2015-01-26,0.002568461
2015-01-27,-0.013387862
2015-01-28,-0.01349561
2015-01-29,0.009534685
2015-01-30,-0.012991965
2015-02-02,0.012962464
2015-02-03,0.014439495
2015-02-04,-0.004156046
2015-02-05,0.010291407
2015-02-06,-0.003418172
2015-02-09,-0.004247195
2015-02-10,0.010675561
2015-02-11,-2.90E-05
2015-02-12,0.009644506
2015-02-13,0.004074739
2015-02-17,0.001597575
2015-02-18,-0.000314309
2015-02-19,-0.001062058
2015-02-20,0.006126534
2015-02-23,-0.000303339
2015-02-24,0.002758771
2015-02-25,-0.000765724
2015-02-26,-0.001476028
2015-02-27,-0.002956304
2015-03-02,0.006124919
2015-03-03,-0.004538542
2015-03-04,-0.004388503
2015-03-05,0.00119608
2015-03-06,-0.014173946
2015-03-09,0.003944421
2015-03-10,-0.01696133
2015-03-11,-0.00191768
2015-03-12,0.01260144
2015-03-13,-0.006074711
2015-03-16,0.013533671
2015-03-17,-0.003320174
2015-03-18,0.012158422
2015-03-19,-0.004872579
2015-03-20,0.009012755
2015-03-23,-0.001745731
2015-03-24,-0.006139422
2015-03-25,-0.014558906
2015-03-26,-0.0023775
2015-03-27,0.002368562
2015-03-30,0.012236645
2015-03-31,-0.008795775
2015-04-01,-0.003965372
2015-04-02,0.003529667
2015-04-06,0.006608815
2015-04-07,-0.002061904
2015-04-08,0.002682533
2015-04-09,0.004457481
2015-04-10,0.005202865
2015-04-13,-0.004581281
2015-04-14,0.001629759
2015-04-15,0.005148196
2015-04-16,-0.000778444
2015-04-17,-0.011311245
2015-04-20,0.009235131
2015-04-21,-0.001480605
2015-04-22,0.00508748
2015-04-23,0.002357716
2015-04-24,0.0022528
2015-04-27,-0.004141314
2015-04-28,0.002769232
2015-04-29,-0.003740336
2015-04-30,-0.010128907
2015-05-01,0.010923002
2015-05-04,0.002940749
2015-05-05,-0.011837384
2015-05-06,-0.004455725
2015-05-07,0.003773814
2015-05-08,0.013457901
2015-05-11,-0.005089561
2015-05-12,-0.002949638
2015-05-13,-0.000304955
2015-05-14,0.010779287
2015-05-15,0.000768414
2015-05-18,0.003047948
2015-05-19,-0.000643375
2015-05-20,-0.000930516
2015-05-21,0.002337874
2015-05-22,-0.002233886
2015-05-26,-0.01028198
2015-05-27,0.009162641
2015-05-28,-0.001266761
2015-05-29,-0.006318469
2015-06-01,0.002059461
2015-06-02,-0.001008596
2015-06-03,0.002118871
2015-06-04,-0.008623167
2015-06-05,-0.001436183
2015-06-08,-0.00647451
2015-06-09,0.000418353
2015-06-10,0.012042425
2015-06-11,0.001738626
2015-06-12,-0.0069943
2015-06-15,-0.004622572
2015-06-16,0.005689856
2015-06-17,0.001979641
2015-06-18,0.009902711
2015-06-19,-0.005303502
2015-06-22,0.006094867
2015-06-23,0.000635868
2015-06-24,-0.007353297
2015-06-25,-0.002973574
2015-06-26,-0.00039008
2015-06-29,-0.020866194
2015-06-30,0.002658489
2015-07-01,0.00693604
2015-07-02,-0.000308023
2015-07-06,-0.003861757
2015-07-07,0.006080975
2015-07-08,-0.016652749
2015-07-09,0.002262203
2015-07-10,0.012338485
2015-07-13,0.011066049
2015-07-14,0.004453159
2015-07-15,-0.000734986
2015-07-16,0.008014681
2015-07-17,0.001106183
2015-07-20,0.000771234
2015-07-21,-0.004261689
2015-07-22,-0.00238771
2015-07-23,-0.00567604
2015-07-24,-0.010703328
2015-07-27,-0.005775015
2015-07-28,0.012386154
2015-07-29,0.007318795
2015-07-30,2.84E-05
2015-07-31,-0.00227152
2015-08-03,-0.002756887
2015-08-04,-0.002249705
2015-08-05,0.003114679
2015-08-06,-0.007752985
2015-08-07,-0.002874883
2015-08-10,0.012808167
2015-08-11,-0.009557103
2015-08-12,0.000950055
2015-08-13,-0.001275212
2015-08-14,0.003911964
2015-08-17,0.005211424
2015-08-18,-0.00262553
2015-08-19,-0.008254877
2015-08-20,-0.02110017
2015-08-21,-0.031850965
2015-08-24,-0.039413693
2015-08-25,-0.013521995
2015-08-26,0.039033859
2015-08-27,0.024297748
2015-08-28,0.000608736
2015-08-31,-0.00839167
2015-09-01,-0.029576447
2015-09-02,0.018292975
2015-09-03,0.001164794
2015-09-04,-0.015329596
2015-09-08,0.025083053
2015-09-09,-0.01389756
2015-09-10,0.005277955
2015-09-11,0.004487043
2015-09-14,-0.004089656
2015-09-15,0.012831312
